WOREDANO_,FAO_AEZ,FirstPlantMonth,LastPlantMonth,FirstHarvestMonth,LastHarvestMonth
10101,6,7,9,9,10
10102,5,7,9,9,11
10103,5,7,9,9,11
10104,5,7,9,9,11
10105,5,7,9,9,11
10106,4,5,7,8,10
10201,5,7,9,9,11
10202,5,7,9,9,11
10203,5,7,9,9,11
10204,5,7,9,9,11
10205,5,7,9,9,11
10206,5,7,9,9,11
10207,5,7,9,9,11
10208,5,7,9,9,11
10209,5,7,9,9,11
10210,5,7,9,9,11
10301,5,7,9,9,11
10302,5,7,9,9,11
10303,5,7,9,9,11
10304,5,7,9,9,11
10305,5,7,9,9,11
10306,5,7,9,9,11
10307,5,7,9,9,11
10401,5,7,9,9,11
10402,5,7,9,9,11
10403,5,7,9,9,11
10404,5,7,9,9,11
10405,5,7,9,9,11
10406,5,7,9,9,11
10407,5,7,9,9,11
10408,5,7,9,9,11
10501,6,7,9,9,10
10502,4,5,7,8,10
10503,5,7,9,9,11
20101,7,7,9,8,10
20102,7,7,9,8,10
20103,7,7,9,8,10
20104,7,7,9,8,10
20105,7,7,9,8,10
20106,7,7,9,8,10
20201,7,7,9,8,10
20202,5,7,9,9,11
20203,7,7,9,8,10
20204,7,7,9,8,10
20205,7,7,9,8,10
20206,5,7,9,9,11
20207,7,7,9,8,10
20301,7,7,9,8,10
20302,7,7,9,8,10
20303,7,7,9,8,10
20304,5,7,9,9,11
20305,7,7,9,8,10
20306,4,5,7,8,10
20401,7,7,9,8,10
20402,7,7,9,8,10
20403,7,7,9,8,10
20404,5,7,9,9,11
20405,5,7,9,9,11
20501,5,7,9,9,11
20502,5,7,9,9,11
20503,5,7,9,9,11
20504,5,7,9,9,11
20505,5,7,9,9,11
30101,4,5,7,8,10
30102,5,7,9,9,11
30103,4,5,7,8,10
30104,4,5,7,8,10
30105,4,5,7,8,10
30106,5,7,9,9,11
30107,5,7,9,9,11
30108,4,5,7,8,10
30109,4,5,7,8,10
30110,4,5,7,8,10
30111,4,5,7,8,10
30112,5,7,9,9,11
30113,5,7,9,9,11
30114,5,7,9,9,11
30115,4,5,7,8,10
30116,4,5,7,8,10
30117,4,5,7,8,10
30119,5,7,9,9,11
30120,5,7,9,9,11
30121,4,5,7,8,10
30201,5,7,9,9,11
30202,4,5,7,8,10
30203,4,5,7,8,10
30204,4,5,7,8,10
30205,4,5,7,8,10
30206,4,5,7,8,10
30207,4,5,7,8,10
30208,4,5,7,8,10
30209,4,5,7,8,10
30211,4,5,7,8,10
30301,5,7,9,9,11
30302,5,7,9,9,11
30303,5,7,9,9,11
30304,5,7,9,9,11
30305,5,7,9,9,11
30306,5,7,9,9,11
30307,4,5,7,8,10
30308,4,5,7,8,10
30310,5,7,9,9,11
30311,5,7,9,9,11
30401,5,7,9,9,11
30402,5,7,9,9,11
30403,4,5,7,8,10
30404,4,5,7,8,10
30405,4,5,7,8,10
30406,4,5,7,8,10
30407,4,5,7,8,10
30408,4,5,7,8,10
30409,4,5,7,8,10
30410,5,7,9,9,11
30411,5,7,9,9,11
30412,5,7,9,9,11
30413,5,7,9,9,11
30414,5,7,9,9,11
30415,4,5,7,8,10
30416,5,7,9,9,11
30419,5,7,9,9,11
30420,5,7,9,9,11
30501,5,7,9,9,11
30502,5,7,9,9,11
30503,4,5,7,8,10
30504,5,7,9,9,11
30505,4,5,7,8,10
30506,4,5,7,8,10
30507,4,5,7,8,10
30508,4,5,7,8,10
30509,5,7,9,9,11
30510,4,5,7,8,10
30511,5,7,9,9,11
30512,4,5,7,8,10
30513,5,7,9,9,11
30514,5,7,9,9,11
30515,4,5,7,8,10
30516,5,7,9,9,11
30517,5,7,9,9,11
30518,5,7,9,9,11
30519,5,7,9,9,11
30521,5,7,9,9,11
30522,5,7,9,9,11
30523,5,7,9,9,11
30601,4,5,7,8,10
30602,4,5,7,8,10
30603,4,5,7,8,10
30604,4,5,7,8,10
30605,4,5,7,8,10
30606,4,5,7,8,10
30607,4,5,7,8,10
30608,5,7,9,9,11
30609,4,5,7,8,10
30610,4,5,7,8,10
30611,5,7,9,9,11
30612,4,5,7,8,10
30613,4,5,7,8,10
30614,4,5,7,8,10
30616,4,5,7,8,10
30617,4,5,7,8,10
30618,4,5,7,8,10
30701,4,5,7,8,10
30702,4,5,7,8,10
30703,4,5,7,8,10
30704,4,5,7,8,10
30705,4,5,7,8,10
30706,4,5,7,8,10
30707,4,5,7,8,10
30708,4,5,7,8,10
30709,4,5,7,8,10
30710,5,7,9,9,11
30711,5,7,9,9,11
30713,3,5,7,8,10
30801,5,7,9,9,11
30802,5,7,9,9,11
30803,5,7,9,9,11
30804,5,7,9,9,11
30805,5,7,9,9,11
30806,5,7,9,9,11
30901,3,5,7,8,10
30902,3,5,7,8,10
30903,3,5,7,8,10
30904,3,5,7,8,10
30905,3,5,7,8,10
30906,5,7,9,9,11
30907,4,5,7,8,10
31001,4,5,7,8,10
31002,5,7,9,9,11
31003,5,7,9,9,11
31004,4,5,7,8,10
31005,5,7,9,9,11
31201,5,7,9,9,11
40101,3,5,7,8,10
40102,3,5,7,8,10
40103,3,5,7,8,10
40104,3,5,7,8,10
40105,3,5,7,8,10
40106,3,5,7,8,10
40107,3,5,7,8,10
40108,3,5,7,8,10
40109,3,5,7,8,10
40110,3,5,7,8,10
40111,3,5,7,8,10
40112,3,5,7,8,10
40113,3,5,7,8,10
40114,3,5,7,8,10
40115,3,5,7,8,10
40116,3,5,7,8,10
40118,3,5,7,8,10
40201,3,5,7,8,10
40202,3,5,7,8,10
40203,3,5,7,8,10
40204,3,5,7,8,10
40205,3,5,7,8,10
40206,3,5,7,8,10
40207,3,5,7,8,10
40208,3,5,7,8,10
40209,3,5,7,8,10
40210,5,7,9,9,11
40211,3,5,7,8,10
40212,3,5,7,8,10
40213,3,5,7,8,10
40214,3,5,7,8,10
40215,3,5,7,8,10
40216,5,7,9,9,11
40301,3,5,7,8,10
40302,3,5,7,8,10
40303,3,5,7,8,10
40304,3,5,7,8,10
40305,3,5,7,8,10
40306,2,4,6,7,9
40307,3,5,7,8,10
40308,3,5,7,8,10
40309,3,5,7,8,10
40310,3,5,7,8,10
40311,2,4,6,7,9
40312,3,5,7,8,10
40313,2,4,6,7,9
40314,3,5,7,8,10
40315,3,5,7,8,10
40316,3,5,7,8,10
40317,2,4,6,7,9
40318,3,5,7,8,10
40319,3,5,7,8,10
40322,3,5,7,8,10
40323,5,7,9,9,11
40324,3,5,7,8,10
40401,3,5,7,8,10
40402,3,5,7,8,10
40403,3,5,7,8,10
40404,3,5,7,8,10
40405,3,5,7,8,10
40406,3,5,7,8,10
40407,3,5,7,8,10
40408,3,5,7,8,10
40409,2,4,6,7,9
40410,2,4,6,7,9
40411,3,5,7,8,10
40412,3,5,7,8,10
40413,3,5,7,8,10
40414,2,4,6,7,9
40415,3,5,7,8,10
40416,3,5,7,8,10
40501,5,7,9,9,11
40502,4,5,7,8,10
40503,4,5,7,8,10
40504,4,5,7,8,10
40505,4,5,7,8,10
40506,3,5,7,8,10
40507,3,5,7,8,10
40508,3,5,7,8,10
40509,4,5,7,8,10
40510,4,5,7,8,10
40511,4,5,7,8,10
40512,4,5,7,8,10
40513,4,5,7,8,10
40514,4,5,7,8,10
40516,5,7,9,9,11
40517,4,5,7,8,10
40518,2,4,6,7,9
40519,4,5,7,8,10
40601,5,7,9,9,11
40602,5,7,9,9,11
40603,4,5,7,8,10
40604,4,5,7,8,10
40605,4,5,7,8,10
40606,4,5,7,8,10
40607,4,5,7,8,10
40608,4,5,7,8,10
40609,5,7,9,9,11
40610,5,7,9,9,11
40611,5,7,9,9,11
40612,4,5,7,8,10
40614,4,5,7,8,10
40615,4,5,7,8,10
40616,4,5,7,8,10
40617,5,7,9,9,11
40701,5,7,9,9,11
40702,5,7,9,9,11
40703,5,7,9,9,11
40704,5,7,9,9,11
40705,5,7,9,9,11
40706,5,7,9,9,11
40707,3,5,7,8,10
40708,5,7,9,9,11
40710,3,5,7,8,10
40711,3,5,7,8,10
40712,3,5,7,8,10
40801,5,7,9,9,11
40802,2,4,6,7,9
40803,2,4,6,7,9
40804,5,7,9,9,11
40805,5,7,9,9,11
40806,6,7,9,9,10
40807,5,7,9,9,11
40808,2,4,6,7,9
40809,2,4,6,7,9
40810,2,4,6,7,9
40811,3,5,7,8,10
40812,2,4,6,7,9
40813,2,4,6,7,9
40814,2,4,6,7,9
40815,2,4,6,7,9
40816,5,7,9,9,11
40817,4,5,7,8,10
40818,2,4,6,7,9
40819,2,4,6,7,9
40820,5,7,9,9,11
40821,2,4,6,7,9
40822,2,4,6,7,9
40823,3,5,7,8,10
40824,2,4,6,7,9
40901,7,7,9,8,10
40902,3,5,7,8,10
40903,3,5,7,8,10
40904,5,7,9,9,11
40906,5,7,9,9,11
40907,5,7,9,9,11
40908,5,7,9,9,11
40909,5,7,9,9,11
40910,5,7,9,9,11
40911,5,7,9,9,11
40912,3,5,7,8,10
40913,5,7,9,9,11
40915,5,7,9,9,11
41001,4,5,7,8,10
41002,4,5,7,8,10
41003,5,7,9,9,11
41004,5,7,9,9,11
41005,5,7,9,9,11
41006,3,5,7,8,10
41007,3,5,7,8,10
41008,3,5,7,8,10
41009,3,5,7,8,10
41010,3,5,7,8,10
41011,3,5,7,8,10
41012,5,7,9,9,11
41013,5,7,9,9,11
41014,5,7,9,9,11
41015,7,7,9,8,10
41016,3,5,7,8,10
41017,5,7,9,9,11
41018,5,7,9,9,11
41104,3,5,7,8,10
41105,5,7,9,9,11
41106,3,5,7,8,10
41107,5,7,9,9,11
41108,2,4,6,7,9
41109,3,5,7,8,10
41110,2,4,6,7,9
41111,2,4,6,7,9
41112,5,7,9,9,11
41113,5,7,9,9,11
41114,4,5,7,8,10
41115,4,5,7,8,10
41116,4,5,7,8,10
41117,5,7,9,9,11
41118,5,7,9,9,11
41121,5,7,9,9,11
41122,3,5,7,8,10
41206,4,5,7,8,10
41207,4,5,7,8,10
41208,5,7,9,9,11
41210,6,7,9,9,10
41211,4,5,7,8,10
41212,6,7,9,9,10
41213,5,7,9,9,11
41215,4,5,7,8,10
41216,5,7,9,9,11
41217,5,7,9,9,11
41218,4,5,7,8,10
41219,6,7,9,9,10
41220,5,7,9,9,11
41301,3,5,7,8,10
41302,4,5,7,8,10
41303,4,5,7,8,10
41304,4,5,7,8,10
41305,4,5,7,8,10
41306,3,5,7,8,10
41307,4,5,7,8,10
41308,4,5,7,8,10
41309,4,5,7,8,10
41310,4,5,7,8,10
41312,3,5,7,8,10
41313,4,5,7,8,10
41314,3,5,7,8,10
41401,4,5,7,8,10
41402,2,4,6,7,9
41403,4,5,7,8,10
41404,4,5,7,8,10
41405,4,5,7,8,10
41406,4,5,7,8,10
41407,5,7,9,9,11
41408,2,4,6,7,9
41409,4,5,7,8,10
41410,4,5,7,8,10
41701,3,5,7,8,10
41702,4,5,7,8,10
41703,6,7,9,9,10
41704,2,4,6,7,9
41705,2,4,6,7,9
41706,2,4,6,7,9
41707,3,5,7,8,10
41708,3,5,7,8,10
41709,2,4,6,7,9
41710,3,5,7,8,10
41712,4,5,7,8,10
41801,3,5,7,8,10
41802,3,5,7,8,10
41803,3,5,7,8,10
41804,3,5,7,8,10
41805,3,5,7,8,10
41807,3,5,7,8,10
41808,3,5,7,8,10
41809,3,5,7,8,10
41810,3,5,7,8,10
41811,3,5,7,8,10
41901,3,5,7,8,10
41903,4,5,7,8,10
41904,5,7,9,9,11
41905,3,5,7,8,10
41906,3,5,7,8,10
41907,4,5,7,8,10
41908,3,5,7,8,10
41909,3,5,7,8,10
41910,3,5,7,8,10
50101,7,7,9,8,10
50102,7,7,9,8,10
50103,7,7,9,8,10
50104,7,7,9,8,10
50106,7,7,9,8,10
50107,7,7,9,8,10
50201,5,7,9,9,11
50202,5,7,9,9,11
50204,7,7,9,8,10
50205,7,7,9,8,10
50206,5,7,9,9,11
50207,7,7,9,8,10
50301,7,7,9,8,10
50302,7,7,9,8,10
50303,7,7,9,8,10
50304,7,7,9,8,10
50305,7,7,9,8,10
50401,5,7,9,9,11
50402,5,7,9,9,11
50403,7,7,9,8,10
50404,7,7,9,8,10
50405,7,7,9,8,10
50406,7,7,9,8,10
50407,5,7,9,9,11
50408,5,7,9,9,11
50501,7,7,9,8,10
50502,7,7,9,8,10
50503,7,7,9,8,10
50504,7,7,9,8,10
50601,7,7,9,8,10
50602,7,7,9,8,10
50603,7,7,9,8,10
50604,7,7,9,8,10
50605,7,7,9,8,10
50606,7,7,9,8,10
50607,7,7,9,8,10
50701,7,7,9,8,10
50702,7,7,9,8,10
50703,7,7,9,8,10
50704,7,7,9,8,10
50801,5,7,9,9,11
50802,5,7,9,9,11
50803,5,7,9,9,11
50804,5,7,9,9,11
50805,7,7,9,8,10
50806,7,7,9,8,10
50807,7,7,9,8,10
50808,7,7,9,8,10
50901,5,7,9,9,11
50902,5,7,9,9,11
50903,7,7,9,8,10
50904,5,7,9,9,11
60201,5,7,9,9,11
60202,5,7,9,9,11
60203,5,7,9,9,11
60204,5,7,9,9,11
60205,3,5,7,8,10
60206,5,7,9,9,11
60207,3,5,7,8,10
60301,3,5,7,8,10
60302,5,7,9,9,11
60303,3,5,7,8,10
60304,5,7,9,9,11
60305,3,5,7,8,10
60306,3,5,7,8,10
60307,3,5,7,8,10
60308,3,5,7,8,10
60401,5,7,9,9,11
60402,5,7,9,9,11
60403,3,5,7,8,10
60404,3,5,7,8,10
60405,5,7,9,9,11
70101,3,5,7,8,10
70102,3,5,7,8,10
70103,3,5,7,8,10
70104,4,5,7,8,10
70105,3,5,7,8,10
70106,3,5,7,8,10
70107,3,5,7,8,10
70108,3,5,7,8,10
70109,3,5,7,8,10
70110,3,5,7,8,10
70111,3,5,7,8,10
70112,3,5,7,8,10
70113,3,5,7,8,10
70201,3,5,7,8,10
70202,3,5,7,8,10
70203,3,5,7,8,10
70204,3,5,7,8,10
70205,3,5,7,8,10
70206,3,5,7,8,10
70207,3,5,7,8,10
70208,3,5,7,8,10
70209,3,5,7,8,10
70210,3,5,7,8,10
70301,3,5,7,8,10
70302,3,5,7,8,10
70303,3,5,7,8,10
70304,3,5,7,8,10
70305,3,5,7,8,10
70306,3,5,7,8,10
70307,3,5,7,8,10
70401,4,5,7,8,10
70402,4,5,7,8,10
70403,2,4,6,7,9
70404,4,5,7,8,10
70405,3,5,7,8,10
70406,2,4,6,7,9
70407,2,4,6,7,9
70408,2,4,6,7,9
70409,4,5,7,8,10
70410,4,5,7,8,10
70411,3,5,7,8,10
70412,3,5,7,8,10
70413,4,5,7,8,10
70414,5,7,9,9,11
70415,2,4,6,7,9
70416,2,4,6,7,9
70417,5,7,9,9,11
70418,2,4,6,7,9
70419,4,5,7,8,10
70420,3,5,7,8,10
70501,3,5,7,8,10
70502,4,5,7,8,10
70503,4,5,7,8,10
70504,2,4,6,7,9
70505,3,5,7,8,10
70506,4,5,7,8,10
70601,3,5,7,8,10
70602,3,5,7,8,10
70603,3,5,7,8,10
70604,3,5,7,8,10
70605,3,5,7,8,10
70606,3,5,7,8,10
70607,3,5,7,8,10
70608,3,5,7,8,10
70609,3,5,7,8,10
70610,3,5,7,8,10
70611,3,5,7,8,10
70612,3,5,7,8,10
70701,5,7,9,9,11
70702,2,4,6,7,9
70703,2,4,6,7,9
70704,6,7,9,9,10
70705,2,4,6,7,9
70706,6,7,9,9,10
70707,2,4,6,7,9
70708,6,7,9,9,10
70801,2,4,6,7,9
70802,2,4,6,7,9
70803,2,4,6,7,9
70901,2,4,6,7,9
70902,2,4,6,7,9
70903,2,4,6,7,9
70904,2,4,6,7,9
70905,2,4,6,7,9
70906,2,4,6,7,9
70907,2,4,6,7,9
70908,5,7,9,9,11
70909,2,4,6,7,9
70910,2,4,6,7,9
71001,3,5,7,8,10
71002,3,5,7,8,10
71003,3,5,7,8,10
71004,3,5,7,8,10
71005,3,5,7,8,10
71007,3,5,7,8,10
71008,3,5,7,8,10
71009,3,5,7,8,10
71010,3,5,7,8,10
71011,3,5,7,8,10
71012,3,5,7,8,10
71013,2,4,6,7,9
71015,3,5,7,8,10
71016,3,5,7,8,10
71017,3,5,7,8,10
71101,1,4,6,7,9
71102,2,4,6,7,9
71103,1,4,6,7,9
71104,1,4,6,7,9
71105,2,4,6,7,9
71106,2,4,6,7,9
71107,5,7,9,9,11
71108,1,4,6,7,9
71109,5,7,9,9,11
71110,1,4,6,7,9
71201,3,5,7,8,10
71301,5,7,9,9,11
71401,5,7,9,9,11
71501,2,4,6,7,9
71601,2,4,6,7,9
71701,3,5,7,8,10
71702,3,5,7,8,10
71703,3,5,7,8,10
71704,3,5,7,8,10
71705,3,5,7,8,10
71801,3,5,7,8,10
71901,2,4,6,7,9
72001,3,5,7,8,10
72002,3,5,7,8,10
72003,3,5,7,8,10
72004,3,5,7,8,10
72005,3,5,7,8,10
72006,3,5,7,8,10
72007,3,5,7,8,10
72008,3,5,7,8,10
72101,3,5,7,8,10
120101,3,5,7,8,10
120102,3,5,7,8,10
120103,3,5,7,8,10
120104,3,5,7,8,10
120200,3,5,7,8,10
120201,3,5,7,8,10
120202,3,5,7,8,10
120203,3,5,7,8,10
120204,3,5,7,8,10
120205,3,5,7,8,10
120207,3,5,7,8,10
120208,2,4,6,7,9
120301,3,5,7,8,10
130101,4,5,7,8,10
140101,2,4,6,7,9
140102,3,5,7,8,10
140103,2,4,6,7,9
140104,2,4,6,7,9
140105,2,4,6,7,9
140106,2,4,6,7,9
140107,4,5,7,8,10
140108,2,4,6,7,9
140109,2,4,6,7,9
140110,2,4,6,7,9
150101,7,7,9,8,10
150102,7,7,9,8,10
201011,7,7,9,8,10
201051,7,7,9,8,10
202071,7,7,9,8,10
508061,7,7,9,8,10
